Domain,Format Loads,Impressions,Format Fill Rate,Viewability Rate,Efficiency Rate,CPM,Clicks,CTR,Category,Category importance,Country,Geographical zone,Geographical zone importance
indiaglitz.com,117863.4,21020.4,17.277555555555555,82.10666666666668,95.21066666666664,1.6255555555555554,196.7888888888889,0.8645555555555556,Movies & Television,3.5670052018825857,India,Asia,13.09
stoppapressarna.se,117692.1724137931,18212.0,12.027198275862075,77.82814655172416,87.16999999999997,1.4537931034482745,125.47844827586206,0.765344827586207,Movies & Television,3.5670052018825857,Sweden,West Europe,11.98
chvnoticias.cl,117588.06211180124,20572.211180124224,18.333229813664587,89.88490683229816,98.96732919254654,1.5213664596273284,281.6024844720497,1.348198757763974,News & Portals,58.607877136487495,Chile,South America,53.27
diario16.com,117442.4,16256.898591549296,16.24507042253523,80.33611267605636,86.99284507042255,1.5595211267605604,106.25633802816901,0.5308169014084511,News & Portals,58.607877136487495,Spain,West Europe,11.98
cuentosparadormir.com,117210.70194986073,6578.727019498608,6.741587743732589,61.337938718662954,95.3707242339834,1.603064066852361,55.67130919220056,0.9051253481894143,Education & Careers,2.42754520683676,Mexico,South America,53.27
moneytimes.com.br,116791.25,9839.875,8.160000000000002,57.10333333333333,87.32041666666667,1.7620833333333337,2.4583333333333335,0.02500000000000001,Money & Investing,1.189001733960862,Brazil,South America,53.27
planetminecraft.com,116369.875,13559.0,9.75625,62.11625,81.51124999999999,1.5262499999999999,10.125,0.07375,Tech & Gaming,1.9816695566014366,United States,North America,8.32
miamidiario.com,115714.18404907975,10677.638036809816,10.333527607361962,81.14806748466259,91.98469325153371,1.6109815950920234,96.8558282208589,1.1769018404907978,News & Portals,58.607877136487495,Venezuela,South America,53.27
bles.com,115273.35,13933.53,11.809000000000001,76.90559999999996,84.21149999999997,1.5442999999999998,193.64,1.1521,News & Portals,58.607877136487495,Argentina,South America,53.27
avito.ma,115245.48878923767,4774.363228699552,4.361479820627805,85.72170403587445,97.23004484304927,1.6191928251121084,75.30493273542601,1.6311210762331845,Home,0.5697299975229131,France,West Europe,11.98
futbolme.com,114375.07142857143,220.0,0.37999999999999995,79.45285714285716,87.66285714285712,2.3057142857142856,0.7142857142857143,0.1285714285714286,Sports,7.629427792915531,Spain,West Europe,11.98
mdzol.com,114149.96,1895.0618181818181,1.5117454545454536,65.67429090909093,71.09276363636361,1.350945454545453,21.35272727272727,0.7826909090909091,News & Portals,58.607877136487495,Argentina,South America,53.27
nordkurier.de,113917.28301886792,19782.490566037737,18.736415094339623,78.4541509433962,92.89943396226417,1.4816981132075469,126.79245283018868,0.6181132075471698,News & Portals,58.607877136487495,Germany,West Europe,11.98
acordacidade.com.br,113829.4262295082,11453.51912568306,11.23661202185793,71.75628415300548,97.22068306010928,1.6283333333333296,11.073770491803279,0.1065573770491803,News & Portals,58.607877136487495,Brazil,South America,53.27
sandesh.com,113213.1256830601,3445.74043715847,2.9729508196721266,88.53866120218584,96.88650273224046,1.8297267759562827,8.98360655737705,0.24516393442622944,News & Portals,58.607877136487495,India,Asia,13.09
suamusica.com.br,113082.225,46663.425,36.505,64.75949999999997,82.98575,2.08075,172.0,0.346,Music & Radio,5.622987366856576,Brazil,South America,53.27
tabascohoy.com,112784.75,13881.379807692309,13.507692307692313,87.86206730769233,95.24221153846156,1.6536538461538468,119.4423076923077,0.8918269230769234,News & Portals,58.607877136487495,Mexico,South America,53.27
cartacapital.com.br,111554.34556574923,13633.944954128441,13.827492354740068,85.44978593272168,98.6335474006116,1.6191437308868475,54.20183486238532,0.3755963302752295,News & Portals,58.607877136487495,Brazil,South America,53.27
campograndenews.com.br,111178.3581081081,5352.8175675675675,6.344864864864862,69.3993243243243,90.16885135135139,1.610337837837838,24.33783783783784,0.5452027027027025,News & Portals,58.607877136487495,Brazil,South America,53.27
epapervijayavani.in,110055.67857142857,161.67857142857142,0.14285714285714285,84.905,99.6732142857143,1.7607142857142857,0.5,0.25571428571428567,News & Portals,58.607877136487495,India,Asia,13.09
gente.com.ar,109875.74137931035,7289.448275862069,7.1068965517241365,70.63517241379313,74.17896551724137,1.2574137931034484,46.01724137931034,0.4922413793103448,Glamour,4.756006935843448,Argentina,South America,53.27
ncrnoticias.com,109547.70731707317,692.0243902439024,0.7912195121951219,91.63707317073172,92.10878048780486,1.591951219512195,2.8536585365853657,0.4124390243902439,News & Portals,58.607877136487495,Costa Rica,South America,53.27
descopera.ro,108778.48387096774,187.83870967741936,0.24580645161290327,79.77774193548385,83.98838709677419,1.4967741935483871,1.2258064516129032,0.46645161290322584,Community & Culture,6.613822145157296,Romania,East Europe,10.43
entrepreneur.com,108772.57650273223,39880.5,39.70125683060109,85.2136612021858,97.75265027322396,1.6565846994535474,158.16120218579235,0.4101092896174865,News & Portals,58.607877136487495,Mexico,South America,53.27
aastocks.com,108441.25,9312.983695652174,12.378152173913039,58.330271739130445,88.26065217391307,1.456902173913044,10.86413043478261,0.20157608695652168,News & Portals,58.607877136487495,Hong Kong,Asia,13.09
lanacion.com.py,108079.81147540984,5076.762295081967,5.882486338797818,88.97658469945358,95.65677595628408,1.6774863387978132,56.65300546448088,0.9977595628415306,News & Portals,58.607877136487495,Paraguay,South America,53.27
